INC_CRC|NAME|LATITUDE|LONGITUDE|DESCRIPTION|HYPERLINK
78E6B093FF09F721|Mount Batten Rd/Old Airport Rd Open Space|103.88330098901|1.30573400841613|Junction of Mt Batten Rd & Old Airport Rd|
AA5EC52A19C4E25A|Wilkinson Interim Park|103.887303997701|1.30157198694066|Along Wilkinson Road|
2F1D45EED0C983BA|Bunga Rampai Park|103.884275005667|1.34045302254281|Located along Jalan Bunga Rampai (Road) is a transitional zone among Bartley MRT, Bartley Secondary School and Jalan Bunga Rampai Estate|
B4B92BB1A0D125DA|Handy Road Open Space|103.84777500427|1.29897100091601|Bounded by Handy Road, Orchard Road and Zubir Said Drive; In front of The Cathay ▀|
D56EAEF187A152BD|Kitchener Green Playground|103.859533002821|1.30730499713228|Along Kitchener Road|
8536B482FE51D6CD|Penang Road Open Space|103.841238007513|1.30009699401837|Along Penang Road and Oxley Road ▀|
119021D2C0A30D47|National Orchid Garden|103.813893992211|1.31267000887848|In the Central Core of the Singapore Botanic Gardens., Address: 1 Cluny Road, Singapore 259569|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/national-orchid-garden
ADB5ACEDD0C508B1|Eng Kong Garden Playground|103.769163007842|1.33692401719002|Located along Lorong Kismis and Eng Kong Terrace|
AABAA7518ACA5AC5|Sennett Avenue Open Space|103.939423995901|1.31878498855893|Sennett Ave|
BA00DDAB0F3E954D|Interim Park At Lengkong Enam|103.914736987314|1.32736399042993|Along Jalan Selamat and Lengkong Tujuh|
171B1A8D0BCD056B|Pesari Walk Playground|103.953982005401|1.32442800353246|Along Taman Bedok|
09DE4312CEE2D693|Changi Heights Playground|103.972156990988|1.36284801405719|Jalan Terang Bulan|
927944CDCCC7E47B|Jalan Senang Playground|103.915657988943|1.32899598345262|Along Jalan Senang|
6FCD6CEF6885DDAA|Telok Kurau Park|103.914285987588|1.31536500670409|A green space along Bedok Reservoir PCN. Entrance along Joo Chiat Place, Joo Chiat Walk, Joo Chiat Ave and Lorong J Telok Kurau (Road)|
622FBEF14C816531|Sunrise Place Playground|103.856600000567|1.38694298284096|Located along Sunrise Place|
6C996D80208497AB|Seletar Terrace Playground|103.868719994142|1.38146800285887|Located along Seletar Terrace|
EC9FDBFD4393F73A|Upper Peirce Reservoir Park|103.811353002102|1.37450901296906|Along Old Upper Thomson Road|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/upper-peirce-reservoir-park
51DC303FD7651D0F|Tai Hwan Terrace Playground|103.860395002318|1.35635900364815|Bounded by Tai Hwan Grove and Tai Hwan Terrace|
7ED2BECE2F8269E3|Woodlands Town Park East|103.779225994086|1.43652399605571|Along Woodlands street 13|
